Unnamed: 0;type;subtype;bedroomCount;bathroomCount;province;locality;postCode;habitableSurface;buildingCondition;buildingConstructionYear;facedeCount;floodZoneType;heatingType;kitchenType;hasLivingRoom;toiletCount;hasTerrace;epcScore;price
63;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;50.0;JUST_RENOVATED;1920.0;3.0;;GAS;HYPER_EQUIPPED;TRUE;1.0;TRUE;E;275000.0
64;APARTMENT;APARTMENT;2.0;2.0;Brussels;Etterbeek;1040;155.0;JUST_RENOVATED;1961.0;2.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;3.0;TRUE;C;900000.0
69;APARTMENT;APARTMENT;2.0;2.0;Brussels;Etterbeek;1040;155.0;JUST_RENOVATED;1961.0;2.0;NON_FLOOD_ZONE;;HYPER_EQUIPPED;TRUE;1.0;TRUE;C;900000.0
70;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;70.0;TO_BE_DONE_UP;1930.0;4.0;NON_FLOOD_ZONE;GAS;NOT_INSTALLED;TRUE;2.0;TRUE;E;260000.0
71;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;130.0;GOOD;1958.0;2.0;NON_FLOOD_ZONE;GAS;INSTALLED;;2.0;TRUE;C;525000.0
72;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;70.0;AS_NEW;2015.0;;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;1.0;TRUE;B;350000.0
73;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;60.0;AS_NEW;2009.0;2.0;;ELECTRIC;HYPER_EQUIPPED;;1.0;;F;290000.0
74;APARTMENT;PENTHOUSE;2.0;1.0;Brussels;Etterbeek;1040;187.0;JUST_RENOVATED;1912.0;3.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;3.0;TRUE;C;875000.0
76;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;84.0;GOOD;1978.0;2.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;1.0;TRUE;B;415000.0
80;APARTMENT;APARTMENT;1.0;1.0;Brussels;Bruxelles;1040;67.0;AS_NEW;2012.0;2.0;;GAS;HYPER_EQUIPPED;;1.0;TRUE;B;350000.0
81;APARTMENT;DUPLEX;3.0;2.0;Brussels;Bruxelles;1040;130.0;JUST_RENOVATED;1910.0;2.0;NON_FLOOD_ZONE;GAS;;;2.0;;C;729000.0
82;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;68.0;AS_NEW;2007.0;2.0;NON_FLOOD_ZONE;ELECTRIC;HYPER_EQUIPPED;;1.0;TRUE;E;325000.0
86;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;71.0;AS_NEW;2009.0;2.0;;;HYPER_EQUIPPED;;1.0;TRUE;G;295000.0
88;HOUSE;APARTMENT_BLOCK;3.0;3.0;Brussels;Etterbeek;1040;271.0;GOOD;1960.0;2.0;;GAS;INSTALLED;TRUE;3.0;;F;850000.0
89;HOUSE;HOUSE;7.0;3.0;Brussels;Brussels;1040;340.0;TO_RENOVATE;1898.0;2.0;NON_FLOOD_ZONE;GAS;INSTALLED;TRUE;3.0;TRUE;G;985000.0
90;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;70.0;GOOD;2004.0;2.0;;ELECTRIC;INSTALLED;;1.0;TRUE;D;355000.0
92;APARTMENT;APARTMENT;3.0;1.0;Brussels;Etterbeek;1040;120.0;GOOD;1944.0;2.0;NON_FLOOD_ZONE;GAS;INSTALLED;;2.0;TRUE;D;415000.0
93;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;75.0;GOOD;1960.0;;;;;TRUE;1.0;TRUE;E;265000.0
95;APARTMENT;PENTHOUSE;3.0;3.0;Brussels;Etterbeek;1040;206.0;;1912.0;3.0;;GAS;HYPER_EQUIPPED;;4.0;TRUE;C;950000.0
97;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;75.0;TO_BE_DONE_UP;1953.0;2.0;;GAS;NOT_INSTALLED;TRUE;1.0;TRUE;D;290000.0
100;APARTMENT;APARTMENT;3.0;2.0;Brussels;Etterbeek;1040;142.0;GOOD;1966.0;2.0;;GAS;INSTALLED;TRUE;2.0;TRUE;G;420000.0
101;HOUSE;HOUSE;3.0;2.0;Brussels;Etterbeek;1040;110.0;TO_BE_DONE_UP;1948.0;2.0;;GAS;SEMI_EQUIPPED;TRUE;2.0;TRUE;G;449000.0
103;HOUSE;APARTMENT_BLOCK;4.0;2.0;Brussels;Etterbeek;1040;221.0;AS_NEW;1900.0;2.0;NON_FLOOD_ZONE;;HYPER_EQUIPPED;TRUE;2.0;TRUE;D;849000.0
104;APARTMENT;PENTHOUSE;2.0;2.0;Brussels;Etterbeek;1040;187.0;;1912.0;3.0;;GAS;HYPER_EQUIPPED;;3.0;TRUE;C;795000.0
105;APARTMENT;PENTHOUSE;3.0;3.0;Brussels;Etterbeek;1040;198.0;;1912.0;3.0;;GAS;HYPER_EQUIPPED;;3.0;TRUE;B;995000.0
106;APARTMENT;TRIPLEX;5.0;3.0;Brussels;Etterbeek;1040;300.0;AS_NEW;1912.0;2.0;;GAS;INSTALLED;TRUE;3.0;;F;695000.0
107;HOUSE;APARTMENT_BLOCK;6.0;4.0;Brussels;Etterbeek;1040;210.0;TO_BE_DONE_UP;1918.0;2.0;NON_FLOOD_ZONE;GAS;;TRUE;4.0;TRUE;F;590000.0
108;APARTMENT;APARTMENT;2.0;2.0;Brussels;Etterbeek;1040;186.0;GOOD;1972.0;2.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;2.0;TRUE;C;695000.0
110;APARTMENT;DUPLEX;2.0;2.0;Brussels;Etterbeek;1040;187.0;AS_NEW;1912.0;2.0;POSSIBLE_FLOOD_ZONE;GAS;HYPER_EQUIPPED;;3.0;TRUE;C;795000.0
111;APARTMENT;DUPLEX;3.0;3.0;Brussels;Etterbeek;1040;198.0;AS_NEW;1912.0;2.0;RECOGNIZED_FLOOD_ZONE;GAS;HYPER_EQUIPPED;;3.0;TRUE;C;995000.0
113;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;105.0;GOOD;1942.0;;;;;TRUE;2.0;;D;445000.0
114;APARTMENT;DUPLEX;3.0;3.0;Brussels;Etterbeek;1040;224.0;AS_NEW;1908.0;2.0;;;HYPER_EQUIPPED;TRUE;3.0;TRUE;D;845000.0
115;HOUSE;MANSION;6.0;3.0;Brussels;Etterbeek;1040;300.0;TO_RENOVATE;1895.0;2.0;NON_FLOOD_ZONE;GAS;INSTALLED;TRUE;3.0;TRUE;G;985000.0
117;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;71.0;;1999.0;;;ELECTRIC;INSTALLED;TRUE;1.0;;;325000.0
118;HOUSE;APARTMENT_BLOCK;4.0;4.0;Brussels;Etterbeek;1040;265.0;TO_BE_DONE_UP;1906.0;2.0;;GAS;SEMI_EQUIPPED;;4.0;TRUE;E;825000.0
120;HOUSE;HOUSE;3.0;1.0;Brussels;Etterbeek;1040;169.0;TO_BE_DONE_UP;1899.0;2.0;;GAS;INSTALLED;TRUE;2.0;TRUE;G;599000.0
127;APARTMENT;APARTMENT;2.0;1.0;Brussels;ETTERBEEK;1040;145.0;JUST_RENOVATED;1961.0;2.0;;GAS;INSTALLED;TRUE;3.0;;C;900000.0
129;HOUSE;HOUSE;3.0;1.0;Brussels;Etterbeek;1040;189.0;AS_NEW;2015.0;2.0;;;INSTALLED;TRUE;2.0;TRUE;E;499000.0
138;APARTMENT;APARTMENT;1.0;1.0;Brussels;ETTERBEEK;1040;70.0;GOOD;1969.0;2.0;;FUELOIL;INSTALLED;;1.0;TRUE;D;320000.0
149;APARTMENT;PENTHOUSE;2.0;1.0;Brussels;Etterbeek - halte Boileau;1040;95.0;;1961.0;2.0;;;;TRUE;1.0;TRUE;E;360000.0
155;HOUSE;HOUSE;3.0;2.0;Brussels;ETTERBEEK;1040;400.0;GOOD;1867.0;;;GAS;;;4.0;;E;1150000.0
166;APARTMENT;APARTMENT;1.0;1.0;Brussels;ETTERBEEK;1040;68.0;AS_NEW;1912.0;2.0;NON_FLOOD_ZONE;GAS;INSTALLED;TRUE;1.0;TRUE;G;339000.0
169;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;54.0;AS_NEW;2023.0;2.0;;GAS;HYPER_EQUIPPED;TRUE;1.0;;A;295000.0
171;HOUSE;APARTMENT_BLOCK;7.0;4.0;Brussels;Etterbeek;1040;365.0;TO_RENOVATE;1932.0;2.0;;;;;5.0;TRUE;G;760000.0
173;APARTMENT;APARTMENT;3.0;2.0;Brussels;Etterbeek;1040;119.0;AS_NEW;1950.0;2.0;NON_FLOOD_ZONE;GAS;SEMI_EQUIPPED;TRUE;2.0;;C;545000.0
176;APARTMENT;PENTHOUSE;2.0;2.0;Brussels;Etterbeek;1040;95.0;GOOD;2014.0;2.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;2.0;TRUE;B;399000.0
178;APARTMENT;APARTMENT;2.0;1.0;Brussels;ETTERBEEK;1040;145.0;;1961.0;2.0;;;;TRUE;3.0;TRUE;C;900000.0
179;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;71.0;TO_RENOVATE;1939.0;2.0;NON_FLOOD_ZONE;GAS;SEMI_EQUIPPED;TRUE;1.0;TRUE;E;275000.0
190;HOUSE;APARTMENT_BLOCK;5.0;2.0;Brussels;Etterbeek;1040;208.0;AS_NEW;1960.0;2.0;;;;;2.0;TRUE;D;870000.0
191;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;60.0;GOOD;1965.0;;;GAS;HYPER_EQUIPPED;TRUE;1.0;;E;280000.0
192;APARTMENT;GROUND_FLOOR;2.0;2.0;Brussels;Etterbeek;1040;90.0;GOOD;1949.0;;;GAS;HYPER_EQUIPPED;TRUE;1.0;TRUE;G;350000.0
193;APARTMENT;FLAT_STUDIO;1.0;1.0;Brussels;Etterbeek;1040;40.0;GOOD;1929.0;2.0;;GAS;HYPER_EQUIPPED;;1.0;TRUE;D;199000.0
195;APARTMENT;APARTMENT;2.0;1.0;Brussels;Etterbeek;1040;80.0;;1968.0;2.0;;GAS;;;1.0;TRUE;G;249000.0
201;APARTMENT;GROUND_FLOOR;2.0;1.0;Brussels;Etterbeek;1040;68.0;TO_RENOVATE;1939.0;2.0;NON_FLOOD_ZONE;GAS;SEMI_EQUIPPED;TRUE;1.0;TRUE;E;250000.0
202;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;70.0;;1960.0;3.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;1.0;TRUE;E;270000.0
206;APARTMENT;APARTMENT;1.0;1.0;Brussels;ETTERBEEK;1040;82.0;GOOD;1936.0;2.0;NON_FLOOD_ZONE;GAS;SEMI_EQUIPPED;TRUE;1.0;TRUE;E;349000.0
207;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;58.0;;2015.0;;;GAS;;TRUE;1.0;TRUE;C;356500.0
209;APARTMENT;APARTMENT;1.0;1.0;Brussels;ETTERBEEK;1040;82.0;GOOD;1936.0;2.0;NON_FLOOD_ZONE;GAS;SEMI_EQUIPPED;TRUE;1.0;TRUE;E;360000.0
210;APARTMENT;APARTMENT;2.0;1.0;Brussels;ETTERBEEK;1040;92.0;GOOD;1936.0;2.0;NON_FLOOD_ZONE;GAS;SEMI_EQUIPPED;TRUE;1.0;TRUE;E;365000.0
217;APARTMENT;DUPLEX;5.0;2.0;Brussels;ETTERBEEK;1040;186.0;;1936.0;2.0;NON_FLOOD_ZONE;GAS;HYPER_EQUIPPED;TRUE;2.0;;E;675000.0
218;APARTMENT;APARTMENT;1.0;1.0;Brussels;Etterbeek;1040;95.0;GOOD;1947.0;;;;;TRUE;1.0;;G;300000.0
220;APARTMENT;APARTMENT;1.0;1.0;Brussels;Bruxelles;1040;56.0;AS_NEW;2016.0;2.0;NON_FLOOD_ZONE;;HYPER_EQUIPPED;;1.0;;B;360000.0
